Local time - DST,P
2015-01-19 05:10:00+00:00,0.0
2015-01-19 06:10:00+00:00,0.0
2015-01-19 07:10:00+00:00,0.0
2015-01-19 08:10:00+00:00,22.59
2015-01-19 09:10:00+00:00,164.5
2015-01-19 10:10:00+00:00,310.99
2015-01-19 11:10:00+00:00,322.46
2015-01-19 12:10:00+00:00,497.94
2015-01-19 13:10:00+00:00,455.9
2015-01-19 14:10:00+00:00,367.19
2015-01-19 15:10:00+00:00,243.59
2015-01-19 16:10:00+00:00,70.0
2015-01-19 17:10:00+00:00,0.0
2015-01-19 18:10:00+00:00,0.0
2015-01-19 19:10:00+00:00,0.0
2015-01-19 20:10:00+00:00,0.0
2015-01-19 21:10:00+00:00,0.0
2015-01-19 22:10:00+00:00,0.0
2015-01-19 23:10:00+00:00,0.0
2015-01-20 00:10:00+00:00,0.0
2015-01-20 01:10:00+00:00,0.0
2015-01-20 02:10:00+00:00,0.0
2015-01-20 03:10:00+00:00,0.0
2015-01-20 04:10:00+00:00,0.0
2015-01-20 05:10:00+00:00,0.0
2015-01-20 06:10:00+00:00,0.0
2015-01-20 07:10:00+00:00,0.0
2015-01-20 08:10:00+00:00,18.04
2015-01-20 09:10:00+00:00,106.46
2015-01-20 10:10:00+00:00,212.76
2015-01-20 11:10:00+00:00,148.33
2015-01-20 12:10:00+00:00,101.16
2015-01-20 13:10:00+00:00,155.29
2015-01-20 14:10:00+00:00,95.94
2015-01-20 15:10:00+00:00,38.69
2015-01-20 16:10:00+00:00,47.59
2015-01-20 17:10:00+00:00,0.0
2015-01-20 18:10:00+00:00,0.0
2015-01-20 19:10:00+00:00,0.0
2015-01-20 20:10:00+00:00,0.0
2015-01-20 21:10:00+00:00,0.0
2015-01-20 22:10:00+00:00,0.0
2015-01-20 23:10:00+00:00,0.0
2015-01-21 00:10:00+00:00,0.0
2015-01-21 01:10:00+00:00,0.0
2015-01-21 02:10:00+00:00,0.0
2015-01-21 03:10:00+00:00,0.0
2015-01-21 04:10:00+00:00,0.0
2015-01-21 05:10:00+00:00,0.0
2015-01-21 06:10:00+00:00,0.0
2015-01-21 07:10:00+00:00,0.0
2015-01-21 08:10:00+00:00,26.29
2015-01-21 09:10:00+00:00,225.44
2015-01-21 10:10:00+00:00,258.25
2015-01-21 11:10:00+00:00,148.29
2015-01-21 12:10:00+00:00,166.8
2015-01-21 13:10:00+00:00,132.41
2015-01-21 14:10:00+00:00,94.48
2015-01-21 15:10:00+00:00,36.91
2015-01-21 16:10:00+00:00,32.32
2015-01-21 17:10:00+00:00,0.0
2015-01-21 18:10:00+00:00,0.0
2015-01-21 19:10:00+00:00,0.0
2015-01-21 20:10:00+00:00,0.0
2015-01-21 21:10:00+00:00,0.0
2015-01-21 22:10:00+00:00,0.0
2015-01-21 23:10:00+00:00,0.0
2015-01-22 00:10:00+00:00,0.0
2015-01-22 01:10:00+00:00,0.0
2015-01-22 02:10:00+00:00,0.0
2015-01-22 03:10:00+00:00,0.0
2015-01-22 04:10:00+00:00,0.0
2015-01-22 05:10:00+00:00,0.0
2015-01-22 06:10:00+00:00,0.0
2015-01-22 07:10:00+00:00,0.0
2015-01-22 08:10:00+00:00,8.86
2015-01-22 09:10:00+00:00,186.74
2015-01-22 10:10:00+00:00,33.84
2015-01-22 11:10:00+00:00,179.8
2015-01-22 12:10:00+00:00,262.32
2015-01-22 13:10:00+00:00,230.2
2015-01-22 14:10:00+00:00,223.62
2015-01-22 15:10:00+00:00,135.77
2015-01-22 16:10:00+00:00,58.21
2015-01-22 17:10:00+00:00,0.0
2015-01-22 18:10:00+00:00,0.0
2015-01-22 19:10:00+00:00,0.0
2015-01-22 20:10:00+00:00,0.0
2015-01-22 21:10:00+00:00,0.0
2015-01-22 22:10:00+00:00,0.0
2015-01-22 23:10:00+00:00,0.0
2015-01-23 00:10:00+00:00,0.0
2015-01-23 01:10:00+00:00,0.0
2015-01-23 02:10:00+00:00,0.0
2015-01-23 03:10:00+00:00,0.0
2015-01-23 04:10:00+00:00,0.0
2015-01-23 05:10:00+00:00,0.0
2015-01-23 06:10:00+00:00,0.0
2015-01-23 07:10:00+00:00,0.0
